1;Verlässlichkeit in Beziehungen;Für andere da sein, verlässlich und vertrauenswürdig in der eigenen Gruppe. 
2;Fürsorglichkeit;Sich liebevoll um Menschen kümmern, die einem nahe stehen. 
3;Toleranz;Andere so annehmen, wie sie sind, auch wenn sie anders leben oder denken. 
4;Gerechtigkeit und Mitgefühl;Gerechtigkeit für alle, Gleichbehandlung und Schutz von Menschen. 
5;Naturverbundenheit;Die Natur schätzen und sich für ihren Erhalt einsetzen. 
6;Bescheidenheit;Sich selbst nicht so wichtig nehmen und das größere Ganze sehen. 
7;Rücksicht auf andere;Vermeiden, andere zu verletzen oder zu stören. 
8;Regeltreue und Pflichtbewusstsein;Sich an Gesetze und Regeln halten. 
9;Tradition;Kulturelle oder religiöse Bräuche und Werte achten und bewahren. 
10;Gesellschaftliche Stabilität;Ein stabiles und sicheres Leben in einer funktionierenden Gemeinschaft wünschen. 
11;Persönliche Sicherheit;Für sich selbst und sein direktes Umfeld Sicherheit und Schutz wollen. 
12;Ansehen bewahren;Wert darauf legen, was andere denken – nicht bloßgestellt oder beschämt werden. 
13;Macht durch Besitz;Einfluss haben durch Geld, Eigentum oder soziale Mittel. 
14;Macht über andere;Andere lenken oder bestimmen können. 
15;Erfolg durch Leistung;Erfolg haben und zeigen, dass man fähig ist – sichtbar für andere. 
16;Abenteuerlust;Neues erleben, Spannung und Herausforderung suchen. 
17;Selbstbestimmung im Tun;Frei entscheiden, was man tut, unabhängig sein. 
18;Gedankenfreiheit und Fantasie;Eigene Ideen entwickeln, sich frei geistig entfalten. 
19;Genussfreude;Das Leben genießen, Spaß haben, sich etwas gönnen.